,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
0,https://www.rumah.com/listing-properti/dijual-permata-arcamanik-oleh-evan-dwilak-sono-20119424,Rumah terlaris di bandung,"Jl Pacuan Kuda, Cisaranten Kulon, Arcamanik, Arcamanik, Bandung, Jawa Barat",2,1,245000000.0,60.0,72.0,1300,Multiple options available,1,-6.912222,107.678611,340277.0,0,1,0,0
1,https://www.rumah.com/listing-properti/dijual-katapang-kopo-oleh-evan-dwilak-sono-18058178,"Hunian exclusif, free desain premium","Sukamukti katapang cibaduyut kopo bandung, Katapang, Bandung, Jawa Barat",2,1,177000000.0,36.0,50.0,1300,Tak Berperabot,1,0.7893,113.9213,354000.0,0,0,0,1
2,https://www.rumah.com/listing-properti/dijual-mutiara-cibaduyut-oleh-evan-dwilak-sono-18402643,Rumah terlaris di bandung,"Jl Raya Cibaduyut, Cibaduyut, Bojongloa Kidul, Bojongloa Kidul, Bandung, Jawa Barat",3,2,313000000.0,60.0,84.0,1300,Multiple options available,1,-6.971533,107.589911,372619.0,0,1,0,0
3,https://www.rumah.com/listing-properti/dijual-pelangi-antapani-oleh-evan-dwilak-sono-19139536,Jual rumah free desain,". Jl. Terusan Jakarta, Antapani, Bandung, Jawa Barat",3,2,330000000.0,60.0,84.0,1300,,0,-6.912762,107.6577723,392857.0,0,0,0,0
4,https://www.rumah.com/listing-properti/dijual-rumah-strategis-komplek-batununggal-bandung-oleh-lili-solihin-20816576,Rumah Strategis Komplek Batununggal Bandung,"Batununggal, Batununggal, Bandung, Jawa Barat",6,5,4700000000.0,219.0,303.0,6600,,0,-6.9317606,107.6431247,1551155.0,0,0,0,0
5,https://www.rumah.com/listing-properti/dijual-cibaduyut-kopo-oleh-evan-dwilak-sono-17876347,Hunian minimalis free desain hemat kualitas premium,"Cibaduyut, Bandung, Jawa Barat",2,1,195000000.0,40.0,60.0,1300,Multiple options available,1,-6.9406515,107.5875009,325000.0,0,1,0,0
10,https://www.rumah.com/listing-properti/dijual-bandung-inten-indah-oleh-rido-rahadian-20112376,Rumah murah harga nego,"Jl. Gedebage, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",3,2,300000000.0,50.0,72.0,1300,Tak Berperabot,1,-6.949964,107.687061,416666.0,0,0,0,1
11,https://www.rumah.com/listing-properti/dijual-permata-buah-batu-oleh-rido-rahadian-19630391,Rumah murah harga nego,"Jl . Ciganitri, Cijaura (Margasenang), Buah Batu, Buahbatu, Bandung, Jawa Barat",3,2,300000000.0,50.0,72.0,1300,Multiple options available,1,-6.972671,107.636392,416666.0,0,1,0,0
12,https://www.rumah.com/listing-properti/dijual-rumah-gaya-sultan-harga-murah-dakat-pusat-kota-oleh-ratih-20314486,Rumuh Di Pusat kota Bandung Timur akses 3 menit dari jln raya cicahem,"jl. Abdul Hamid, Bandung Timur, Bandung, Jawa Barat",3,2,1000000000.0,62.0,62.0,1300,Tak Berperabot,1,-6.9174639,107.6191228,1612903.0,0,0,0,1
13,https://www.rumah.com/listing-properti/dijual-rumah-murah-perumahan-bonus-berlimpah-mulai-130-jutaan-oleh-zamzam-20895657,Rumah murah perumahan bonus berlimpah mulai 130 jutaan,"Jln. Jatimekar - Bojong malaka, bandung selatan, Pameungpeuk, Bandung, Jawa Barat",2,1,132111994.00000001,36.0,50.0,1300,Sebagian,1,0.7893,113.9213,264224.0,0,0,1,0
